"phase","is_practice","round","MSIT_trial_type","trial_duration","fixation_duration","stimulus","rt","key_press","correct_response","correct","is_missed","MSIT_trials_performed","time_elapsed","worker_ID","match_screen_side","n_matches","mismatch_screen_side","n_mismatches","demand_selection_trials_performed","message_duration","event","trial","time"
"MSIT","false","1","mismatching","1000","250","1 3 1","441.7550000362098","3","3","true","false","7","154411","","","","","","","","","",""
"demand selection","false","1","","3000","","","","leftarrow","","","false","","155079","","right","15","left","3","23","500","","",""
"demand selection","false","1","","3000","","","","rightarrow","","","false","","156207","","left","10","right","5","24","500","","",""
"demand selection","false","1","","3000","","","","rightarrow","","","false","","157319","","left","5","right","1","25","500","","",""
"demand selection","false","1","","3000","","","","rightarrow","","","false","","158753","","left","16","right","10","26","500","","",""
"demand selection","false","1","","3000","","","","rightarrow","","","false","","159883","","left","16","right","4","27","500","","",""
"demand selection","false","1","","3000","","","","leftarrow","","","false","","161173","","right","14","left","2","28","500","","",""
"MSIT","false","1","mismatching","1000","250","3 2 2","508.7849999545142","3","3","true","false","1","162436","","","","","","","","","",""
"MSIT","false","1","mismatching","1000","250","2 1 1","416.13499994855374","2","2","true","false","2","163105","","","","","","","","","",""
"demand selection","false","1","","3000","","","","rightarrow","","","false","","163862","","left","3","right","2","29","500","","",""
"MSIT","false","1","mismatching","1000","250","3 3 1","null","null","1","null","true","1","165619","","","","","","","","","",""
"MSIT","false","1","mismatching","1000","250","1 3 1","null","null","3","null","true","2","168154","","","","","","","","","",""
"demand selection","false","1","","3000","","","","null","","","true","","173462","","right","16","left","8","30","500","","",""
"MSIT","false","1","matching","1000","250","1 2 2","null","null","1","null","true","1","177801","","","","","","","","","",""
"MSIT","false","1","matching","1000","250","1 3 3","null","null","1","null","true","2","180170","","","","","","","","","",""
"MSIT","false","1","matching","1000","250","3 2 3","null","null","2","null","true","3","182608","","","","","","","","","",""
"MSIT","false","1","matching","1000","250","1 2 2","588.6399999726564","1","1","true","false","4","183450","","","","","","","","","",""
"MSIT","false","1","matching","1000","250","1 1 3","522.1700000111014","3","3","true","false","5","184225","","","","","","","","","",""
"MSIT","false","1","matching","1000","250","2 2 3","667.3500000033528","3","3","true","false","6","185144","","","","","","","","","",""
"MSIT","false","1","matching","1000","250","2 2 3","561.479999916628","3","3","true","false","7","185957","","","","","","","","","",""
"MSIT","false","1","matching","1000","250","1 2 2","473.43500005081296","1","1","true","false","8","186686","","","","","","","","","",""
"MSIT","false","1","matching","1000","250","1 3 3","411.4749999716878","1","1","true","false","9","187349","","","","","","","","","",""
"MSIT","false","1","matching","1000","250","3 2 3","616.2550000008196","2","2","true","false","10","188219","","","","","","","","","",""
"MSIT","false","1","matching","1000","250","1 2 2","594.1999999340624","1","1","true","false","11","189064","","","","","","","","","",""
"MSIT","false","1","matching","1000","250","1 2 2","396.04500005953014","1","1","true","false","12","189716","","","","","","","","","",""
"MSIT","false","1","matching","1000","250","2 2 3","543.3950000442564","3","3","true","false","13","190512","","","","","","","","","",""
"MSIT","false","1","matching","1000","250","1 2 1","450.25500003248453","2","2","true","false","14","191214","","","","","","","","","",""
"MSIT","false","1","matching","1000","250","1 1 3","517.7700000349432","3","3","true","false","15","191983","","","","","","","","","",""
"MSIT","false","1","matching","1000","250","1 2 2","443.2100000558421","2","1","false","false","16","192679","","","","","","","","","",""
"demand selection","false","1","","3000","","","","leftarrow","","","false","","193319","","right","12","left","4","31","500","","",""
"demand selection","false","1","","3000","","","","leftarrow","","","false","","194620","","left","5","right","5","32","500","","",""
"MSIT","false","1","matching","1000","250","1 1 3","636.6400000406429","3","3","true","false","1","196014","","","","","","","","","",""
"MSIT","false","1","matching","1000","250","1 2 2","464.3850000575185","1","1","true","false","2","196732","","","","","","","","","",""
"MSIT","false","1","matching","1000","250","3 2 3","472.02999994624406","2","2","true","false","3","197458","","","","","","","","","",""
"MSIT","false","1","matching","1000","250","1 2 1","426.2550000566989","2","2","true","false","4","198136","","","","","","","","","",""
"MSIT","false","1","matching","1000","250","3 2 3","417.84499993082136","2","2","true","false","5","198810","","","","","","","","","",""
"demand selection","false","1","","3000","","","","rightarrow","","","false","","199355","","left","10","right","2","33","500","","",""
"demand selection","false","2","","3000","","","","rightarrow","","","false","","202212","","right","16","left","10","1","500","","",""
"demand selection","false","2","","3000","","","","rightarrow","","","false","","203245","","left","10","right","1","2","500","","",""
"demand selection","false","2","","3000","","","","leftarrow","","","false","","204394","","right","8","left","2","3","500","","",""
"MSIT","false","2","mismatching","1000","250","3 1 1","471.73500002827495","3","3","true","false","1","205622","","","","","","","","","",""
"MSIT","false","2","mismatching","1000","250","3 1 3","470.1149999164045","1","1","true","false","2","206347","","","","","","","","","",""
"demand selection","false","2","","3000","","","","rightarrow","","","false","","206919","","left","6","right","3","4","500","","",""
"MSIT","false","2","mismatching","1000","250","1 3 1","474.2700000060722","3","3","true","false","1","208146","","","","","","","","","",""
"MSIT","false","2","mismatching","1000","250","2 3 2","434.7750000888482","3","3","true","false","2","208837","","","","","","","","","",""
"MSIT","false","2","mismatching","1000","250","1 3 1","412.7149999840185","3","3","true","false","3","209501","","","","","","","","","",""
"demand selection","false","2","","3000","","","","rightarrow","","","false","","210497","","left","16","right","8","5","500","","",""
"demand selection","false","2","","3000","","","","rightarrow","","","false","","212028","","left","12","right","3","6","500","","",""
"demand selection","false","2","","3000","","","","rightarrow","","","false","","213065","","left","12","right","4","7","500","","",""
"demand selection","false","2","","3000","","","","rightarrow","","","false","","214140","","left","14","right","2","8","500","","",""
"MSIT","false","2","mismatching","1000","250","3 1 1","489.23499998636544","3","3","true","false","1","215390","","","","","","","","","",""
"MSIT","false","2","mismatching","1000","250","3 3 1","557.2699999902397","1","1","true","false","2","216203","","","","","","","","","",""
"demand selection","false","2","","3000","","","","rightarrow","","","false","","217701","","right","3","left","3","9","500","","",""
"demand selection","false","2","","3000","","","","null","","","true","","222571","","left","16","right","4","10","500","","",""
"MSIT","false","2","matching","1000","250","1 2 1","null","null","2","null","true","1","226972","","","","","","","","","",""
"MSIT","false","2","matching","1000","250","1 1 3","null","null","3","null","true","2","230544","","","","","","","","","",""
"MSIT","false","2","matching","1000","250","1 1 3","null","null","3","null","true","3","231797","","","","","","","","","",""
"MSIT","false","2","matching","1000","250","1 2 1","742.1000000322238","2","2","true","false","4","232795","","","","","","","","","",""
"MSIT","false","2","matching","1000","250","2 2 3","562.7500000409782","3","3","true","false","5","233609","","","","","","","","","",""
"MSIT","false","2","matching","1000","250","3 2 3","506.2450000550598","2","2","true","false","6","234368","","","","","","","","","",""
"MSIT","false","2","matching","1000","250","1 3 3","543.1899999966845","1","1","true","false","7","235163","","","","","","","","","",""
"MSIT","false","2","matching","1000","250","1 3 3","421.4550000615418","1","1","true","false","8","235840","","","","","","","","","",""
"MSIT","false","2","matching","1000","250","1 2 1","230.21499998867512","1","2","false","false","9","236324","","","","","","","","","",""
"MSIT","false","2","matching","1000","250","1 3 3","40.179999894462526","1","1","true","false","10","236616","","","","","","","","","",""
"MSIT","false","2","matching","1000","250","1 2 2","165.96000001300126","1","1","true","false","11","237035","","","","","","","","","",""
"MSIT","false","2","matching","1000","250","3 2 3","503.0649999389425","2","2","true","false","12","237792","","","","","","","","","",""
"MSIT","false","2","matching","1000","250","3 2 3","405.83499998319894","2","2","true","false","13","238451","","","","","","","","","",""
"MSIT","false","2","matching","1000","250","1 3 3","471.1349999997765","1","1","true","false","14","239177","","","","","","","","","",""
"MSIT","false","2","matching","1000","250","1 2 1","459.5999999437481","2","2","true","false","15","239888","","","","","","","","","",""
"MSIT","false","2","matching","1000","250","1 3 3","583.0000001005828","1","1","true","false","16","240722","","","","","","","","","",""
"demand selection","false","2","","3000","","","","rightarrow","","","false","","241538","","left","12","right","8","11","500","","",""
"demand selection","false","2","","3000","","","","leftarrow","","","false","","242716","","right","10","left","5","12","500","","",""
"MSIT","false","2","mismatching","1000","250","2 1 2","460.42499993927777","1","1","true","false","1","243930","","","","","","","","","",""
"MSIT","false","2","mismatching","1000","250","2 3 2","490.3449999401346","3","3","true","false","2","244672","","","","","","","","","",""
"MSIT","false","2","mismatching","1000","250","3 3 1","651.964999968186","1","1","true","false","3","245578","","","","","","","","","",""
"MSIT","false","2","mismatching","1000","250","3 1 3","452.16500002425164","1","1","true","false","4","246285","","","","","","","","","",""
"MSIT","false","2","mismatching","1000","250","3 1 3","454.67999996617436","1","1","true","false","5","246992","","","","","","","","","",""
